Ticker,Name,Market,MarketCap,PER,PBR,EPS,DividendYield,Beta,52WeekHigh,52WeekLow,Volume,AverageVolume
095570.KS,AJ네트웍스,KOSPI,211001196544.0,,,,5.73,0.626,4870.0,3517.0,176696.0,239947.0
006840.KS,AK홀딩스,KOSPI,117409456128.0,,,,4.44,1.322,13500.0,8950.0,26463.0,13293.0
027410.KS,BGF,KOSPI,382356520960.0,,,,3.25,,4615.0,3290.0,61891.0,88603.0
282330.KS,BGF리테일,KOSPI,1943439278080.0,,,,3.64,0.103,129800.0,98000.0,51517.0,49131.0
138930.KS,BNK금융지주,KOSPI,4691223117824.0,,,,5.43,0.467,16050.0,9260.0,606741.0,926583.0
001460.KS,BYC,KOSPI,341386526720.0,,,,0.85,0.409,45050.0,25550.0,16340.0,3858.0
001465.KS,BYC우,KOSPI,286463000576.0,,,,1.51,0.409,29500.0,11880.0,3577.0,3132.0
001040.KS,CJ,KOSPI,6223341551616.0,,,,1.62,,208500.0,89400.0,267312.0,182568.0
079160.KS,CJ CGV,KOSPI,930563358720.0,,,,,1.359,5840.0,4230.0,747967.0,514806.0
00104K.KS,CJ4우(전환),KOSPI,5354890461184.0,,,,1.88,,174700.0,72100.0,21694.0,13085.0
000120.KS,CJ대한통운,KOSPI,1884814573568.0,,,,0.85,,98500.0,77400.0,56052.0,67400.0
011150.KS,CJ씨푸드,KOSPI,99179593728.0,,,,,,3645.0,2530.0,2759677.0,677899.0
011155.KS,CJ씨푸드1우,KOSPI,554972151808.0,,,,,,24900.0,12010.0,2341.0,704.0
001045.KS,CJ우,KOSPI,4718757150720.0,,,,3.28,,111000.0,54000.0,9392.0,8652.0
097950.KS,CJ제일제당,KOSPI,3493053857792.0,,,,2.75,,278500.0,217000.0,54028.0,76173.0
097955.KS,CJ제일제당 우,KOSPI,3418044235776.0,,,,4.37,,153400.0,124600.0,3570.0,5632.0
000480.KS,CR홀딩스,KOSPI,203394793472.0,,,,8.32,0.754,5990.0,4700.0,23268.0,90588.0
000590.KS,CS홀딩스,KOSPI,78457880576.0,,,,0.66,,102100.0,63300.0,1353.0,1355.0
012030.KS,DB,KOSPI,262858014720.0,,,,,,1770.0,1127.0,239580.0,2366690.0
005830.KS,DB손해보험,KOSPI,7163185987584.0,,,,5.7,,148300.0,77500.0,142987.0,187802.0
016610.KS,DB증권,KOSPI,406505619456.0,,,,3.95,1.055,11060.0,5040.0,140513.0,186265.0
000990.KS,DB하이텍,KOSPI,2555479064576.0,,,,1.99,,72700.0,29100.0,555648.0,650717.0
000300.KS,DH오토넥스,KOSPI,0.0,,,,,,10543103.0,241.0,,
001530.KS,DI동일,KOSPI,350151278592.0,,,,1.41,,50500.0,15730.0,198831.0,162518.0
015590.KS,DKME,KOSPI,122045489152.0,,,,,0.5,532.0,488.0,0.0,0.0
000210.KS,DL,KOSPI,878585118720.0,,,,2.57,0.362,56400.0,27900.0,56171.0,81256.0
000215.KS,DL우,KOSPI,1071534440448.0,,,,4.03,0.362,30800.0,18070.0,13390.0,10493.0
375500.KS,DL이앤씨,KOSPI,1664219217920.0,,,,1.38,0.608,59700.0,30000.0,106912.0,206832.0
37550L.KS,DL이앤씨2우(전환),KOSPI,,,,,1.9,0.608,39150.0,20000.0,2711.0,2254.0
37550K.KS,DL이앤씨우,KOSPI,1897161162752.0,,,,2.72,0.608,27300.0,14900.0,8217.0,12309.0
007340.KS,DN오토모티브,KOSPI,1198296662016.0,,,,4.75,0.676,31600.0,17200.0,81307.0,94541.0
004840.KS,DRB동일,KOSPI,92121899008.0,,,,2.09,,5840.0,3660.0,12914.0,33095.0
155660.KS,DSR,KOSPI,61839998976.0,,,,1.81,0.861,4900.0,3410.0,12071.0,17212.0
069730.KS,DSR제강,KOSPI,50112000000.0,,,,2.87,0.744,4365.0,2990.0,36596.0,30939.0
017860.KS,DS단석,KOSPI,332869140480.0,,,,,,64000.0,18440.0,57077.0,87801.0
092780.KS,DYP,KOSPI,40450088960.0,,,,2.5,,5230.0,3035.0,22240.0,51929.0
017940.KS,E1,KOSPI,483354378240.0,,,,4.13,0.507,100000.0,54200.0,17053.0,14805.0
365550.KS,ESR켄달스퀘어리츠,KOSPI,1086482874368.0,,,,6.21,,5050.0,4050.0,343227.0,361881.0
383220.KS,F&F,KOSPI,2863426174976.0,,,,2.23,0.515,83500.0,47250.0,119913.0,84603.0
007700.KS,F&F홀딩스,KOSPI,768504758272.0,,,,2.29,,24950.0,11130.0,28190.0,32515.0
114090.KS,GKL,KOSPI,921030950912.0,,,,1.89,,17970.0,10440.0,250495.0,299859.0
078930.KS,GS,KOSPI,5623704977408.0,,,,4.55,0.431,62400.0,34700.0,224386.0,251229.0
006360.KS,GS건설,KOSPI,1595911307264.0,,,,1.6,0.815,24850.0,15190.0,255233.0,398514.0
001250.KS,GS글로벌,KOSPI,195926097920.0,,,,1.05,0.768,3400.0,2330.0,166371.0,365191.0
007070.KS,GS리테일,KOSPI,1880225873920.0,,,,2.22,0.357,29073.965,13350.0,245903.0,194135.0
078935.KS,GS우,KOSPI,4886939303936.0,,,,5.6,0.431,51300.0,34300.0,5820.0,8210.0
499790.KS,GS피앤엘,KOSPI,1058477178880.0,,,,,,59300.0,16510.0,404823.0,232834.0
012630.KS,HDC,KOSPI,881625268224.0,,,,1.97,0.547,25350.0,11000.0,211933.0,161226.0
039570.KS,HDC랩스,KOSPI,192525074432.0,,,,5.37,0.347,10410.0,7540.0,19027.0,13582.0
089470.KS,HDC현대EP,KOSPI,105542500352.0,,,,3.44,0.533,4275.0,3200.0,39861.0,42038.0
294870.KS,HDC현대산업개발,KOSPI,1293942915072.0,,,,3.45,0.767,27850.0,15870.0,727191.0,238459.0
009540.KS,HD한국조선해양,KOSPI,29700145545216.0,,,,1.98,1.162,494500.0,181300.0,154263.0,285004.0
267250.KS,HD현대,KOSPI,14381025853440.0,,,,1.77,0.879,237000.0,66300.0,152161.0,214189.0
267270.KS,HD현대건설기계,KOSPI,1569128185856.0,,,,0.55,1.164,120000.0,55600.0,96063.0,163175.0
443060.KS,HD현대마린솔루션,KOSPI,9145158729728.0,,,,2.35,,257000.0,122700.0,79678.0,111346.0
071970.KS,HD현대마린엔진,KOSPI,2628913987584.0,,,,,1.254,106600.0,17000.0,152300.0,354193.0
010620.KS,HD현대미포,KOSPI,8894197792768.0,,,,0.53,0.876,257000.0,99500.0,159583.0,401247.0
322000.KS,HD현대에너지솔루션,KOSPI,576800030720.0,,,,,,77600.0,18590.0,101257.0,163930.0
042670.KS,HD현대인프라코어,KOSPI,2640140304384.0,,,,0.5,,18300.0,6640.0,692377.0,1627524.0
267260.KS,HD현대일렉트릭,KOSPI,27030521380864.0,,,,0.97,,976000.0,264500.0,221598.0,174718.0
329180.KS,HD현대중공업,KOSPI,49269079801856.0,,,,0.68,,640000.0,200500.0,161421.0,251730.0
